ID,Contract_address,File_name,Solc_version,Tx_num,Tx_in_num,Tx_all_num,Balance
79,0x90e4532b5dbb828b51079eb09a65619b8fa757ea,FratFinanceToken.sol,0.7.1,159,0,159,0
80,0x4Fad7d63657397b2d3113a4fEC9D5e08640CBc22,MultiClaim.sol,0.7.1,2,0,2,0
81,0x2a53d4c5b30b5485d054784f0cf30be0697247db,TokenSale__2.sol,0.7.1,6,2,8,0
82,0x155ff1a85f440ee0a382ea949f24ce4e0b751c65,Eye.sol,0.7.1,3659,0,3659,0
83,0x9f6fea1c76fc1961eed97c00124ef7d7a7b3d9ea,EtherSwap.sol,0.7.1,29,14,43,0
84,0xbe23bdf4fac2f95de8adaa6d0113a84359fa2ab8,DefiBomb.sol,0.7.1,195,63,258,0
85,0x44c7762129d6ea71c76f32b5e92f4fe709fe7e86,ZuniSwap.sol,0.7.1,15,0,15,0
86,0xd914317b28ed0d273b3d6044ad839ff926cba69d,AWorldLP.sol,0.7.1,3,0,3,0
87,0xfa07c746076f4f4713e472064eae21fdbcbe8f27,DefiStake.sol,0.7.1,26,5,31,0
88,0xf8169576dcef7573941b693a19c44ceb2bc1f1ab,StakingTransferFunctionality.sol,0.7.1,1,0,1,0
89,0xc7da94ccf2fefb16a57c26f59fe082150051c58e,YSPACEStake.sol,0.7.1,24,0,24,0
90,0xda008a3386b2e4b3d226c3ba68bfac012ce904ed,YefiCrowdsale.sol,0.7.1,78,57,135,0
91,0xe62ff5ef1b3d4aec59f832c48033cc01a425e57b,BaseToken__2.sol,0.7.1,1,0,1,0
92,0xcafd82d162ab9c1c644f92aae324b8d75fe54e71,BaseToken__3.sol,0.7.1,91,0,91,0
93,0xb933a83296a4e65097a6be39b280bdd6dd963175,YIIFIStaking.sol,0.7.1,36,0,36,0
94,0x59188db207d7a173a4e56400b0f880dd5ac34f60,LTD_Token.sol,0.7.1,1,0,1,0
95,0xcd9fe5772caf239972b6e1452baf0103b49e8e15,YFIECStake.sol,0.7.1,420,0,420,0
96,0x61ab6033999fd2de9c0833a6a32f0c17269dc7d4,BITTO__1.sol,0.7.1,1,0,1,0
97,0x1cd137eb5bdf426aae58c3ed80383f74e42d9bf2,SpazStake.sol,0.7.1,1204,0,1204,0
98,0x1f18e7a3d196c706ed0db545b77c0776b2d9e35d,CryptoAccept.sol,0.7.1,1,0,1,0
99,0x76c60c0d05ca29cb0f82e181208d00fadacdb783,YearnSquaredFinance.sol,0.7.1,9,0,9,0
100,0x948b23acd6e06c1a9658385cc2b226d51899f555,DFOHubGeneratedProposal.sol,0.7.1,1,0,1,0
101,0x24ff0c459355788204504b1b7997ae103f8059b8,DFOHubGeneratedProposal__1.sol,0.7.1,1,0,1,0
102,0x3ecabbc9f7aad28d454084ea9949339baa745b96,TimeRelease.sol,0.7.1,12,0,12,0
103,0xe5f6edf844268ee63febbdb6167f78141d59e289,Timelock__70.sol,0.7.1,5,0,5,0
104,0x813fd5a7b6f6d792bf9c03bbf02ec3f08c9f98b2,DonutUniswapRewards.sol,0.7.1,90,0,90,0
105,0x7c4196b9604614bb5f1d2933fd5df4f6e94ea22a,Token__36.sol,0.7.1,1,0,1,0
106,0x21040a5772ed6d345760485b7f3594cfafa5d028,DFOHubGeneratedProposal__2.sol,0.7.1,1,0,1,0
107,0x33729ec887c974cc6f692646c28137d22517b03f,GrowthLockContract.sol,0.7.1,4,0,4,0
108,0x63aa094ba365bd231d3134f073667706dbd358c8,FLYToken.sol,0.7.0,2,0,2,0
109,0x6adbb7820a6bf040f276c59c36a715fea04cec90,KP3C.sol,0.7.0,3,0,3,0
110,0x651080f3e16f9b41c1c08014e5977a50c2fbc6d5,KP3R.sol,0.7.0,7,0,7,0
111,0x6BC6e9468bF2CFfb1A818bbFCc02855e0E4080f3,Yami.sol,0.7.0,746,0,746,0
112,0x74D972e9974D9cEe07D156b572C001eB7296A5b2,TokenSwap.sol,0.7.0,96,0,96,0
113,0x1bb2709c990f5ab025fc79a4218124cae90f52b9,BOMB.sol,0.7.0,10,0,10,0
114,0xe8e158fb79487e0fdb4ba8aefc56a25cd9b493cb,Hikari.sol,0.7.0,5,0,5,0
115,0xe1021c3e9b95e7ae51f8c333defff72039e4aab4,BOOM.sol,0.7.0,2,0,2,0
116,0x14138f0d7cab1ed978d226fc89c447f966168d8b,TokenTimelock.sol,0.7.0,1,0,1,0
117,0x2c050cd45a6f7b5c7e2ca70302556b5e0f1cb0e6,Seed.sol,0.7.0,4,0,4,0
118,0x69075ff4615661c1a17df45f254729bbc063cfc8,DscvrToken.sol,0.7.0,5,0,5,0
119,0x5c367c1b2603ed166c62cec0e4d47e9d5dc1c073,LoopringIOExchangeOwner.sol,0.7.0,3397,0,3397,0
120,0xe56d6ccab6551932c0356e4e8d5daf0630920c71,LoopringV3.sol,0.7.0,3,0,3,0
121,0xA2f3346c484aC1F55ef468fd2fE427B9730aFb9f,ExchangeGenesis.sol,0.7.0,1,0,1,0
122,0x17d3efeEF8e9d254a9E68b27386Bd9Beb9addf3b,ExchangeBlocks.sol,0.7.0,1,0,1,0
123,0x0BABA1Ad5bE3a5C0a66E7ac838a129Bf948f1eA4,OwnedUpgradabilityProxy.sol,0.7.0,10000,10000,20000,2.44E+18
124,0x674bdf20A0F284D710BC40872100128e2d66Bd3f,DefaultDepositContract.sol,0.7.0,4,10000,10004,1.89E+22
125,0xcfF0e58d0D24563f0C7f945B92b0d46EBcb906e1,LoopringAmmSharedConfig.sol,0.7.0,1,0,1,0
126,0x643Caf6bb68986CD17f71E225C8E264378bfccE5,AmmExitRequest.sol,0.7.0,1,0,1,0
127,0xD86eCD9dc3C18e1d202C63941CAcb85ec9fAdf83,AmmJoinRequest.sol,0.7.0,1,0,1,0
128,0x432bcD4fAdE6e54F8b0773546AF44BF7C90fa7F6,ExchangeTokens.sol,0.7.0,1,0,1,0
129,0x919551E7c778539f6238E3483358a2aFbDaa83c9,ExchangeAdmins.sol,0.7.0,1,0,1,0
130,0x6CE48C5E1C6391F6877da7502a0d8621727eA441,ExchangeBalances.sol,0.7.0,1,0,1,0
131,0xec3Cc6Cf0252565b56FC7AC396017Df5b9B78a31,FastWithdrawalAgent.sol,0.7.0,5789,2789,8578,0
132,0x39B9bf169a7e225ba037C443A40460c77438ea14,AgentRegistry.sol,0.7.0,111,0,111,0
133,0x6150343E0F43A17519c0327c41eDd9eBE88D01ef,BlockVerifier.sol,0.7.0,25,0,25,0
134,0x201850680b79bbeff4e00684248b237a77bded0c,NerdlingToken.sol,0.7.0,299,0,299,0
135,0x6907c7917520208a4f5fb568ce2f0f7c21132b4d,LexTokenFactory__3.sol,0.7.0,3,2,5,0
136,0x98ff60bd97b6cc190db240d5a34e336240059568,LexToken__4.sol,0.7.0,1,0,1,0
137,0xaa53cd897a0d652a10a87a2ce355641752b62b51,LexTokenFactory__4.sol,0.7.0,1,0,1,0
138,0x671cF628737A4952c04D09D32f941ffdB389228E,LexTokenFactory__6.sol,0.7.0,2,1,3,0
139,0x7c830859d184b1682e5ab7f309c7835214a1d17e,LexToken__6.sol,0.7.0,1,0,1,0
140,0xa8c8d0f563efc6228343df446a2c301e4af0849c,LexToken__7.sol,0.7.0,1,0,1,0
141,0x344bc5b6b4656a2b80ce35783dbe8d87cd26a457,StakedRewardsPoolTimedRate__3.sol,0.7.0,2,0,2,0
